test_idx,y_true,seq_to_seq,seq_to_clin,clin_to_seq,clin_to_clin
809,0,4.1e-05,0.999959,3e-06,0.999997
5391,1,1.0,0.0,0.0,1.0
1933,0,1.0,0.0,0.0,1.0
908,1,1.0,0.0,1.0,0.0
4107,1,1.0,0.0,0.0,1.0
3203,1,1.0,0.0,0.0,1.0
5708,0,1.0,0.0,0.0,1.0
5943,1,1.0,0.0,1.0,0.0
577,0,2e-06,0.999998,0.0,1.0
2239,0,1.0,0.0,0.0,1.0
1626,1,1.0,0.0,0.0,1.0
2059,1,1.0,0.0,1.0,0.0
2100,1,1.0,0.0,1.0,0.0
3948,1,1.0,0.0,1.0,0.0
4777,1,1.0,0.0,1.0,0.0
550,1,1.0,0.0,0.0,1.0
424,1,1.0,0.0,0.0,1.0
2144,1,1.0,0.0,1.0,0.0
5613,0,1.0,0.0,0.924845,0.075155
772,1,1.0,0.0,0.0,1.0
141,1,0.000737,0.999263,0.026241,0.973759
4273,1,1.0,0.0,1.0,0.0
5494,0,1.0,0.0,0.0,1.0
3700,1,1.0,0.0,1.0,0.0
5106,1,0.000277,0.999723,0.999995,5e-06
2327,1,1.0,0.0,0.0,1.0
4360,1,0.999999,1e-06,1.0,0.0
3840,0,1.0,0.0,0.0,1.0
4549,1,1.0,0.0,0.0,1.0
3198,0,0.000316,0.999684,2.8e-05,0.999972
2718,0,0.000119,0.999881,1.9e-05,0.999981
5665,1,1.0,0.0,1.0,0.0
2496,1,1.0,0.0,1.0,0.0
2342,1,1.0,0.0,1.0,0.0
6175,1,0.999642,0.000358,1.0,0.0
3375,1,0.999962,3.8e-05,1.0,0.0
1935,0,1.0,0.0,0.0,1.0
1711,1,1.0,0.0,1.0,0.0
831,0,4.4e-05,0.999956,4e-06,0.999996
2678,1,1.0,0.0,1.0,0.0
3155,1,0.999999,1e-06,1.0,0.0
5002,1,1.0,0.0,1.0,0.0
3497,1,1.0,0.0,1.0,0.0
1040,1,1.0,0.0,0.999999,1e-06
1415,1,1.0,0.0,1.0,0.0
4291,1,0.999996,4e-06,1.0,0.0
4381,1,0.999999,1e-06,1.0,0.0
4864,1,0.999999,1e-06,1.0,0.0
520,1,1.0,0.0,1.0,0.0
3697,0,1.0,0.0,0.0,1.0
3101,1,1.0,0.0,1.0,0.0
4066,1,1.0,0.0,1.0,0.0
1495,1,1.0,0.0,1.0,0.0
1777,1,1.0,0.0,1.0,0.0
4531,1,0.999979,2.1e-05,1.0,0.0
3083,0,0.894784,0.105216,0.882826,0.117174
2626,1,1.0,0.0,0.0,1.0
3048,0,1.0,0.0,0.0,1.0
4569,1,1.0,0.0,1.0,0.0
5456,1,0.999949,5.1e-05,1.0,0.0
4419,1,1.0,0.0,0.0,1.0
3921,1,0.999969,3.1e-05,1.0,0.0
2454,0,0.000162,0.999838,3.1e-05,0.999969
4802,1,1.0,0.0,0.0,1.0
443,1,0.091181,0.908819,0.999999,1e-06
3769,0,1.0,0.0,0.0,1.0
1239,1,1.0,0.0,1.0,0.0
4781,1,1.0,0.0,1.0,0.0
2654,1,1.0,0.0,0.020588,0.979412
3814,1,0.999948,5.2e-05,1.0,0.0
3182,1,1.0,0.0,0.0,1.0
2782,0,9.1e-05,0.999909,1.3e-05,0.999987
3169,0,0.931342,0.068658,0.0,1.0
270,1,1.0,0.0,1.0,0.0
5159,0,0.860936,0.139064,0.860658,0.139342
2061,1,1.0,0.0,1.0,0.0
2807,0,4e-05,0.99996,0.0,1.0
3574,0,1.0,0.0,0.0,1.0
3608,1,1.0,0.0,1.0,0.0
243,1,1.0,0.0,1.0,0.0
1612,1,1.0,0.0,0.0,1.0
1154,1,1.0,0.0,1.0,0.0
1066,1,1.0,0.0,1.0,0.0
3932,1,0.999982,1.8e-05,1.0,0.0
5947,1,0.999978,2.2e-05,1.0,0.0
1502,1,1.0,0.0,1.0,0.0
6160,1,0.999993,7e-06,1.0,0.0
2480,0,0.002155,0.997845,0.018038,0.981962
4334,1,1.0,0.0,1.0,0.0
1064,1,1.0,0.0,1.0,0.0
3745,1,0.998252,0.001748,1.0,0.0
2539,0,1.0,0.0,0.0,1.0
2054,1,1.0,0.0,1.0,0.0
985,1,1.0,0.0,1.0,0.0
2341,1,1.0,0.0,1.0,0.0
3796,0,1.0,0.0,0.0,1.0
5920,1,0.999952,4.8e-05,1.0,0.0
4244,1,1.0,0.0,1.0,0.0
804,0,0.999344,0.000656,0.999899,0.000101
4903,1,1.0,0.0,0.0,1.0
4141,1,0.999995,5e-06,1.0,0.0
3300,1,1.0,0.0,1.0,0.0
5123,1,1.0,0.0,0.0,1.0
1180,1,1.0,0.0,0.0,1.0
1022,1,1.0,0.0,0.0,1.0
5841,1,0.352629,0.647371,0.0,1.0
1622,1,1.0,0.0,1.0,0.0
1927,1,1.0,0.0,1.0,0.0
234,1,1.0,0.0,1.0,0.0
3248,0,1.0,0.0,0.0,1.0
5457,1,1.0,0.0,0.0,1.0
5926,1,1.0,0.0,0.0,1.0
3369,1,1.0,0.0,0.0,1.0
1772,1,1.0,0.0,1.0,0.0
5422,0,0.030601,0.969399,0.094102,0.905898
6022,0,1.0,0.0,0.0,1.0
3597,1,0.999744,0.000256,1.0,0.0
1607,1,1.0,0.0,1.0,0.0
2815,0,1.2e-05,0.999988,0.0,1.0
5978,1,0.999994,6e-06,1.0,0.0
3649,1,1.0,0.0,1.0,0.0
341,0,1.0,0.0,0.0,1.0
6018,0,0.665219,0.334781,0.74552,0.25448
116,1,1.0,0.0,1.0,0.0
5904,1,1.0,0.0,1.0,0.0
5804,1,0.10049,0.89951,0.999577,0.000423
4487,1,1.0,0.0,1.0,0.0
425,1,0.977121,0.022879,1.0,0.0
360,1,1.0,0.0,1.0,0.0
3173,0,1.0,0.0,0.0,1.0
1683,1,1.0,0.0,0.999999,1e-06
3874,1,1.0,0.0,0.0,1.0
516,0,1.0,0.0,0.0,1.0
588,1,0.000157,0.999843,3e-05,0.99997
2470,0,0.000273,0.999727,0.0,1.0
1142,1,0.000429,0.999571,3.8e-05,0.999962
4667,1,1.0,0.0,1.0,0.0
4170,1,1.0,0.0,1.0,0.0
1769,1,1.0,0.0,0.999999,1e-06
6042,0,0.664125,0.335875,0.744815,0.255184
982,1,1.0,0.0,1.0,0.0
4005,1,1.0,0.0,1.0,0.0
5033,1,1.0,0.0,0.0,1.0
3459,1,0.999118,0.000882,1.0,0.0
1121,1,1.0,0.0,1.0,0.0
467,1,0.923991,0.076009,1.0,0.0
5510,1,1.0,0.0,0.0,1.0
970,1,1.0,0.0,1.0,0.0
3862,1,0.999993,7e-06,1.0,0.0
1988,1,1.0,0.0,0.0,1.0
2566,0,1.0,0.0,0.0,1.0
5909,1,1.0,0.0,0.0,1.0
5402,1,1.0,0.0,1.0,0.0
4132,1,1.0,0.0,1.0,0.0
5100,0,0.021165,0.978835,0.0,1.0
