timestamp,epoch,train_loss,val_loss,val_rho,best_rho
2026-05-14 22:41,11,0.48235,0.63082,0.4392,0.4596
2026-05-14 22:41,12,0.46009,0.63437,0.4533,0.4596
2026-05-14 22:41,13,0.44532,0.61306,0.4476,0.4596
2026-05-14 22:41,14,0.42731,0.62517,0.4511,0.4596
2026-05-14 22:41,15,0.40397,0.61713,0.44,0.4596
2026-05-14 22:42,16,0.40116,0.59081,0.4697,0.4697
2026-05-14 22:42,17,0.4134,0.58765,0.4638,0.4697
2026-05-14 22:42,18,0.40523,0.59298,0.4654,0.4697
2026-05-14 22:42,19,0.39285,0.59127,0.462,0.4697
2026-05-14 22:42,20,0.3799,0.58393,0.4659,0.4697
2026-05-14 22:43,21,0.37118,0.57432,0.4732,0.4732
2026-05-14 22:43,22,0.3854,0.57958,0.4502,0.4732
2026-05-14 22:43,23,0.35995,0.56971,0.4766,0.4766
2026-05-14 22:43,24,0.36269,0.55854,0.481,0.481
2026-05-14 22:43,25,0.34921,0.56547,0.4663,0.481
2026-05-14 22:43,26,0.35509,0.55294,0.4773,0.481
2026-05-14 22:44,27,0.35281,0.54765,0.4844,0.4844
2026-05-14 22:44,28,0.34253,0.54803,0.5045,0.5045
2026-05-14 22:44,29,0.34803,0.55608,0.482,0.5045
2026-05-14 22:44,30,0.34798,0.54673,0.4839,0.5045
2026-05-14 22:44,31,0.32893,0.54525,0.479,0.5045
2026-05-14 22:45,32,0.3335,0.55807,0.4722,0.5045
2026-05-14 22:45,33,0.32095,0.55329,0.4651,0.5045
2026-05-14 22:45,34,0.32815,0.54708,0.4759,0.5045
2026-05-14 22:45,35,0.32298,0.56157,0.4571,0.5045
2026-05-14 22:45,36,0.32573,0.56198,0.4648,0.5045
2026-05-14 22:46,37,0.31324,0.55488,0.4656,0.5045
2026-05-14 22:46,38,0.31075,0.53401,0.4881,0.5045
2026-05-14 22:46,39,0.31363,0.53413,0.4829,0.5045
2026-05-14 22:46,40,0.31075,0.54825,0.4747,0.5045
2026-05-14 22:46,41,0.29919,0.54295,0.4909,0.5045
2026-05-14 22:47,42,0.31247,0.54202,0.4687,0.5045
2026-05-14 22:47,43,0.30604,0.53273,0.4727,0.5045
2026-05-14 22:47,44,0.30428,0.53341,0.4661,0.5045
2026-05-14 22:47,45,0.30556,0.52714,0.4721,0.5045
2026-05-14 22:47,46,0.30084,0.5198,0.4827,0.5045
2026-05-14 22:47,47,0.29224,0.53286,0.4698,0.5045
2026-05-14 22:48,48,0.29897,0.55359,0.4647,0.5045
